symbol,market_cap_cr
NIBE,2568.5
PRAKASH,2560.9
VINDHYATEL,2545.6
SATIN,2538.0
MANGLMCEM,2535.7
MUFIN,2526.8
GLOBUSSPR,2525.9
FMGOETZE,2525.7
SUNDROP,2525.5
ORIENTHOT,2518.2
KIRIINDUS,2516.1
ADVAIT,2498.3
BUILDPRO,2497.9
VEEDOL,2492.1
INA,2491.1
TALBROAUTO,2491.0
GIPCL,2476.5
BEPL,2451.8
PANAMAPET,2447.6
FISCHER,2437.4
EPACKPEB,2432.2
TEAMLEASE,2430.8
PROTEAN,2425.7
PIXTRANS,2419.8
BRIGHOTEL,2412.4
GREENPANEL,2385.1
CONFIPET,2383.5
ORISSAMINE,2376.0
GANECOS,2370.9
MSPL,2370.3
SPANDANA,2366.7
KPEL,2366.2
HPL,2353.4
ALEMBICLTD,2348.3
KICL,2344.2
BFUTILITIE,2339.2
SAGCEM,2336.4
FILATEX,2333.1
RANEHOLDIN,2332.0
SILVERTUC,2327.0
SIRCA,2318.3
EMSLIMITED,2317.9
JAYKAY,2311.9
MOLDTKPAC,2309.4
BGRENERGY,2295.5
ARKADE,2291.1
SPORTKING,2270.5
BHARATRAS,2270.4
BAJEL,2266.5
SANSTAR,2259.8
PRABHA,2257.1
VERANDA,2254.0
CAPACITE,2247.1
EPACK,2242.1
GEOJITFSL,2231.6
MMFL,2230.6
SERVOTECH,2224.3
HONDAPOWER,2218.3
KCP,2211.6
RISHABH,2209.5
RAJRATAN,2208.5
EXICOM,2191.9
VINCOFE,2191.2
PENIND,2187.5
DPABHUSHAN,2180.1
TASTYBITE,2178.5
AWFIS,2175.5
INDNIPPON,2162.6
ADOR,2138.8
PARACABLES,2136.5
INDOCO,2129.2
DCXINDIA,2127.5
GMBREW,2122.5
GOCOLORS,2119.6
APOLLOPIPE,2119.1
STALLION,2115.7
HINDOILEXP,2114.6
SOMANYCERA,2108.1
RHETAN,2101.4
HINDWAREAP,2098.7
BETA,2089.4
STYLEBAAZA,2088.5
SCILAL,2086.8
VIDYAWIRES,2086.5
COSMOFIRST,2084.6
SHRINGARMS,2082.9
TAJGVK,2081.7
BLSE,2056.5
HATHWAY,2053.3
SAKSOFT,2048.4
JAICORPLTD,2033.9
TCIEXP,2028.5
GOCLCORP,2027.5
VENKEYS,2015.9
LAOPALA,2008.0
CANTABIL,2007.3
SIMPLEXINF,2001.1
NUCLEUS,1996.5
BCG,1988.2
SBC,1977.1
PFS,1976.9
